transcript_id,set,archetype,sub_type,market,resolution,sentiment_arc,agent_consistency,intent,turns
GS_020,golden,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/Moniepoint,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17
GS_021,golden,RESOLVED_SUPPORT,billing_error_resolved,Kenya/NCBA,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19
GS_022,golden,RESOLVED_SUPPORT,billing_error_resolved,Gulf/UAE/RAKBANK,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19
GS_023,golden,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/Kuda,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19
GS_024,golden,RESOLVED_SUPPORT,billing_error_resolved,Kenya/KCB,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17
GS_025,golden,RESOLVED_SUPPORT,billing_error_resolved,Gulf/UAE/Emirates NBD,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19
GS_026,golden,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/Kuda,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19
GS_027,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Nigeria/GTBank,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,17
GS_028,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Kenya/NCBA,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,17
GS_029,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Gulf/UAE/Emirates NBD,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,15
GS_030,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Nigeria/GTBank,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,17
GS_031,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Kenya/NCBA,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,15
GS_032,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Gulf/UAE/Mashreq Neo,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,19
GS_033,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Nigeria/Moniepoint,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,19
GS_034,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Kenya/Equity Bank,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,19
GS_035,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Gulf/UAE/RAKBANK,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,15
GS_036,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Nigeria/OPay,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,17
GS_037,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Kenya/Absa Kenya,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,17
GS_038,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Gulf/UAE/Mashreq Neo,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,19
GS_039,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Nigeria/GTBank,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,15
GS_040,golden,RESOLVED_SUPPORT,account_access_resolved,Nigeria/GTBank,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,25
GS_041,golden,RESOLVED_SUPPORT,account_access_resolved,Kenya/Absa Kenya,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23
GS_042,golden,RESOLVED_SUPPORT,account_access_resolved,Gulf/UAE/ADCB,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23
GS_043,golden,RESOLVED_SUPPORT,account_access_resolved,Nigeria/OPay,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,25
GS_044,golden,RESOLVED_SUPPORT,account_access_resolved,Kenya/Absa Kenya,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23
GS_045,golden,RESOLVED_SUPPORT,account_access_resolved,Gulf/UAE/Mashreq Neo,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,25
GS_046,golden,RESOLVED_SUPPORT,account_access_resolved,Nigeria/GTBank,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23
GS_047,golden,RESOLVED_SUPPORT,account_access_resolved,Kenya/NCBA,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23
GS_048,golden,RESOLVED_SUPPORT,account_access_resolved,Gulf/UAE/ADCB,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,25
GS_049,golden,RESOLVED_SUPPORT,account_access_resolved,Nigeria/GTBank,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23
GS_050,golden,RESOLVED_SUPPORT,account_access_resolved,Kenya/KCB,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23
GS_051,golden,RESOLVED_SUPPORT,account_access_resolved,Gulf/UAE/Emirates NBD,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23
GS_052,golden,RESOLVED_SUPPORT,account_access_resolved,Nigeria/Moniepoint,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23
GS_053,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Nigeria/Moniepoint,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17
GS_054,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Kenya/Bolt Food,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17
GS_055,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Gulf/UAE/Talabat,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17
GS_056,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Nigeria/Moniepoint,unresolved,calm -> frustrated,neutral_throughout,service_complaint,19
GS_057,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Kenya/Uber,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17
GS_058,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Gulf/UAE/Mashreq Neo,unresolved,calm -> frustrated,neutral_throughout,service_complaint,19
GS_059,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Nigeria/Chowdeck,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17
GS_060,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Kenya/Absa Kenya,unresolved,calm -> frustrated,neutral_throughout,service_complaint,19
GS_061,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Gulf/UAE/Uber,unresolved,calm -> frustrated,neutral_throughout,service_complaint,19
GS_062,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Nigeria/Bolt,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17
GS_063,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Kenya/Bolt Food,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17
GS_064,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Gulf/UAE/Emirates NBD,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17
GS_065,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Nigeria/Moniepoint,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17
GS_066,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Nigeria/Glovo,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,19
GS_067,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Kenya/Equity Bank,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,19
GS_068,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Gulf/UAE/Mashreq Neo,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,17
GS_069,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Nigeria/Moniepoint,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,21
GS_070,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Kenya/KCB,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,17
GS_071,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Gulf/UAE/RAKBANK,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,19
GS_072,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Nigeria/OPay,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,21
GS_073,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Kenya/KCB,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,19
GS_074,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Gulf/UAE/Emirates NBD,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,19
GS_075,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Nigeria/Kuda,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,19
GS_076,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Kenya/Uber,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,17
GS_077,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Gulf/UAE/Careem,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,21
GS_078,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Nigeria/Bolt,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,19
GS_079,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Nigeria/Kuda,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21
GS_080,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Kenya/Tala,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21
GS_081,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Gulf/UAE/ADCB,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21
GS_082,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Nigeria/OPay,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21
GS_083,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Kenya/NCBA,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21
GS_084,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Gulf/UAE/ADIB,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21
GS_085,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Nigeria/Carbon,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21
GS_086,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Kenya/KCB,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21
GS_087,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Gulf/UAE/Mashreq Neo,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21
GS_088,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Nigeria/Carbon,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21
GS_089,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Kenya/Equity Bank,unresolved,polite -> hostile,neutral_throughout,policy_dispute,23
GS_090,golden,KYC_VERIFICATION,standard_kyc_pass,Nigeria/OPay,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,21
GS_091,golden,KYC_VERIFICATION,standard_kyc_pass,Kenya/KCB,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,17
GS_092,golden,KYC_VERIFICATION,standard_kyc_pass,Gulf/UAE/Emirates NBD,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,19
GS_093,golden,KYC_VERIFICATION,standard_kyc_pass,Nigeria/Moniepoint,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,21
GS_094,golden,KYC_VERIFICATION,standard_kyc_pass,Kenya/NCBA,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,19
GS_095,golden,KYC_VERIFICATION,standard_kyc_pass,Gulf/UAE/Emirates NBD,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,19
GS_096,golden,KYC_VERIFICATION,standard_kyc_pass,Nigeria/Kuda,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,21
GS_097,golden,KYC_VERIFICATION,standard_kyc_pass,Kenya/Absa Kenya,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,19
GS_098,golden,KYC_VERIFICATION,standard_kyc_pass,Gulf/UAE/Emirates NBD,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,17
GS_099,golden,KYC_VERIFICATION,standard_kyc_pass,Nigeria/Moniepoint,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,19
GS_100,golden,KYC_VERIFICATION,standard_kyc_pass,Kenya/Absa Kenya,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,19
GS_101,golden,KYC_VERIFICATION,standard_kyc_pass,Gulf/UAE/ADCB,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,19
GS_102,golden,KYC_VERIFICATION,standard_kyc_pass,Nigeria/OPay,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,19
GS_103,golden,KYC_VERIFICATION,kyc_document_issue,Nigeria/Kuda,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15
GS_104,golden,KYC_VERIFICATION,kyc_document_issue,Kenya/KCB,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15
GS_105,golden,KYC_VERIFICATION,kyc_document_issue,Gulf/UAE/ADCB,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15
GS_106,golden,KYC_VERIFICATION,kyc_document_issue,Nigeria/OPay,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15
GS_107,golden,KYC_VERIFICATION,kyc_document_issue,Kenya/KCB,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,17
GS_108,golden,KYC_VERIFICATION,kyc_document_issue,Gulf/UAE/Mashreq Neo,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15
GS_109,golden,KYC_VERIFICATION,kyc_document_issue,Nigeria/Moniepoint,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15
GS_110,golden,KYC_VERIFICATION,kyc_document_issue,Kenya/NCBA,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15
GS_111,golden,KYC_VERIFICATION,kyc_document_issue,Gulf/UAE/ADCB,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15
GS_112,golden,KYC_VERIFICATION,kyc_document_issue,Nigeria/Moniepoint,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15
GS_113,golden,KYC_VERIFICATION,kyc_document_issue,Kenya/NCBA,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15
GS_114,golden,KYC_VERIFICATION,kyc_document_issue,Gulf/UAE/ADCB,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,17
GS_115,golden,KYC_VERIFICATION,kyc_document_issue,Nigeria/OPay,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15
GS_116,golden,KYC_VERIFICATION,kyc_fraud_flag,Nigeria/OPay,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,21
GS_117,golden,KYC_VERIFICATION,kyc_fraud_flag,Kenya/Equity Bank,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,19
GS_118,golden,KYC_VERIFICATION,kyc_fraud_flag,Gulf/UAE/Emirates NBD,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,19
GS_119,golden,KYC_VERIFICATION,kyc_fraud_flag,Nigeria/GTBank,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,19
GS_120,golden,KYC_VERIFICATION,kyc_fraud_flag,Kenya/NCBA,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,19
GS_121,golden,KYC_VERIFICATION,kyc_fraud_flag,Gulf/UAE/RAKBANK,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,21
GS_122,golden,KYC_VERIFICATION,kyc_fraud_flag,Nigeria/Kuda,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,19
GS_123,golden,KYC_VERIFICATION,kyc_fraud_flag,Kenya/Equity Bank,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,21
GS_124,golden,KYC_VERIFICATION,kyc_fraud_flag,Gulf/UAE/Emirates NBD,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,19
GS_125,golden,KYC_VERIFICATION,kyc_fraud_flag,Nigeria/OPay,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,21
GS_126,golden,KYC_VERIFICATION,kyc_fraud_flag,Kenya/KCB,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,19
GS_127,golden,KYC_VERIFICATION,kyc_fraud_flag,Gulf/UAE/ADCB,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,21
GS_128,golden,KYC_VERIFICATION,kyc_fraud_flag,Nigeria/Moniepoint,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,19
GS_129,golden,LOAN_RECOVERY,payment_reminder_compliant,Nigeria/FairMoney,resolved,slightly_defensive -> cooperative,firm_non_aggressive,loan_reminder,15
GS_130,golden,LOAN_RECOVERY,payment_reminder_compliant,Kenya/M-Shwari,resolved,slightly_defensive -> cooperative,firm_non_aggressive,loan_reminder,17
GS_131,golden,LOAN_RECOVERY,payment_reminder_compliant,Gulf/UAE/ADIB,resolved,slightly_defensive -> cooperative,firm_non_aggressive,loan_reminder,17
GS_132,golden,LOAN_RECOVERY,payment_reminder_compliant,Nigeria/Carbon,resolved,slightly_defensive -> cooperative,firm_non_aggressive,loan_reminder,17
GS_133,golden,LOAN_RECOVERY,payment_reminder_compliant,Kenya/Mogo,resolved,slightly_defensive -> cooperative,firm_non_aggressive,loan_reminder,15
GS_134,golden,LOAN_RECOVERY,payment_reminder_compliant,Gulf/UAE/Dubai Islamic Bank,resolved,slightly_defensive -> cooperative,firm_non_aggressive,loan_reminder,17
GS_135,golden,LOAN_RECOVERY,payment_reminder_compliant,Nigeria/OKash,resolved,slightly_defensive -> cooperative,firm_non_aggressive,loan_reminder,15
GS_136,golden,LOAN_RECOVERY,payment_reminder_compliant,Kenya/Mogo,resolved,slightly_defensive -> cooperative,firm_non_aggressive,loan_reminder,15
GS_137,golden,LOAN_RECOVERY,payment_reminder_compliant,Gulf/UAE/ADIB,resolved,slightly_defensive -> cooperative,firm_non_aggressive,loan_reminder,15
GS_138,golden,LOAN_RECOVERY,payment_reminder_compliant,Nigeria/OKash,resolved,slightly_defensive -> cooperative,firm_non_aggressive,loan_reminder,15
GS_139,golden,LOAN_RECOVERY,payment_reminder_compliant,Kenya/Branch,resolved,slightly_defensive -> cooperative,firm_non_aggressive,loan_reminder,15
GS_140,golden,LOAN_RECOVERY,payment_reminder_compliant,Gulf/UAE/Dubai Islamic Bank,resolved,slightly_defensive -> cooperative,firm_non_aggressive,loan_reminder,15
GS_141,golden,LOAN_RECOVERY,payment_reminder_compliant,Nigeria/Branch,resolved,slightly_defensive -> cooperative,firm_non_aggressive,loan_reminder,17
GS_142,golden,LOAN_RECOVERY,hardship_negotiation,Nigeria/Branch,resolved,distressed -> cautiously_relieved,empathetic_firm,hardship_plan,25
GS_143,golden,LOAN_RECOVERY,hardship_negotiation,Kenya/M-Shwari,resolved,distressed -> cautiously_relieved,empathetic_firm,hardship_plan,27
GS_144,golden,LOAN_RECOVERY,hardship_negotiation,Gulf/UAE/ADIB,resolved,distressed -> cautiously_relieved,empathetic_firm,hardship_plan,27
GS_145,golden,LOAN_RECOVERY,hardship_negotiation,Nigeria/FairMoney,resolved,distressed -> cautiously_relieved,empathetic_firm,hardship_plan,25
GS_146,golden,LOAN_RECOVERY,hardship_negotiation,Kenya/Mogo,resolved,distressed -> cautiously_relieved,empathetic_firm,hardship_plan,25
GS_147,golden,LOAN_RECOVERY,hardship_negotiation,Gulf/UAE/Dubai Islamic Bank,resolved,distressed -> cautiously_relieved,empathetic_firm,hardship_plan,25
GS_148,golden,LOAN_RECOVERY,hardship_negotiation,Nigeria/FairMoney,resolved,distressed -> cautiously_relieved,empathetic_firm,hardship_plan,25
GS_149,golden,LOAN_RECOVERY,hardship_negotiation,Kenya/M-Shwari,resolved,distressed -> cautiously_relieved,empathetic_firm,hardship_plan,27
GS_150,golden,LOAN_RECOVERY,hardship_negotiation,Gulf/UAE/ADIB,resolved,distressed -> cautiously_relieved,empathetic_firm,hardship_plan,27
GS_151,golden,LOAN_RECOVERY,hardship_negotiation,Nigeria/OKash,resolved,distressed -> cautiously_relieved,empathetic_firm,hardship_plan,27
GS_152,golden,LOAN_RECOVERY,hardship_negotiation,Kenya/M-Shwari,resolved,distressed -> cautiously_relieved,empathetic_firm,hardship_plan,25
GS_153,golden,LOAN_RECOVERY,hardship_negotiation,Gulf/UAE/Dubai Islamic Bank,resolved,distressed -> cautiously_relieved,empathetic_firm,hardship_plan,25
GS_154,golden,LOAN_RECOVERY,hardship_negotiation,Nigeria/Branch,resolved,distressed -> cautiously_relieved,empathetic_firm,hardship_plan,25
GS_155,golden,LOAN_RECOVERY,loan_recovery_escalation,Nigeria/Branch,unresolved,hostile_throughout,neutral_professional,loan_escalation,21
GS_156,golden,LOAN_RECOVERY,loan_recovery_escalation,Kenya/M-Shwari,unresolved,hostile_throughout,neutral_professional,loan_escalation,21
GS_157,golden,LOAN_RECOVERY,loan_recovery_escalation,Gulf/UAE/ADIB,unresolved,hostile_throughout,neutral_professional,loan_escalation,23
GS_158,golden,LOAN_RECOVERY,loan_recovery_escalation,Nigeria/Branch,unresolved,hostile_throughout,neutral_professional,loan_escalation,21
GS_159,golden,LOAN_RECOVERY,loan_recovery_escalation,Kenya/Mogo,unresolved,hostile_throughout,neutral_professional,loan_escalation,21
GS_160,golden,LOAN_RECOVERY,loan_recovery_escalation,Gulf/UAE/ADIB,unresolved,hostile_throughout,neutral_professional,loan_escalation,21
GS_161,golden,LOAN_RECOVERY,loan_recovery_escalation,Nigeria/OKash,unresolved,hostile_throughout,neutral_professional,loan_escalation,23
GS_162,golden,LOAN_RECOVERY,loan_recovery_escalation,Kenya/Mogo,unresolved,hostile_throughout,neutral_professional,loan_escalation,21
GS_163,golden,LOAN_RECOVERY,loan_recovery_escalation,Gulf/UAE/ADIB,unresolved,hostile_throughout,neutral_professional,loan_escalation,21
GS_164,golden,LOAN_RECOVERY,loan_recovery_escalation,Nigeria/OKash,unresolved,hostile_throughout,neutral_professional,loan_escalation,23
GS_165,golden,LOAN_RECOVERY,loan_recovery_escalation,Kenya/Mogo,unresolved,hostile_throughout,neutral_professional,loan_escalation,21
GS_166,golden,LOAN_RECOVERY,loan_recovery_escalation,Gulf/UAE/Dubai Islamic Bank,unresolved,hostile_throughout,neutral_professional,loan_escalation,21
GS_167,golden,LOAN_RECOVERY,loan_recovery_escalation,Nigeria/OKash,unresolved,hostile_throughout,neutral_professional,loan_escalation,21
VS_0001,volume,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/Moniepoint,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17
VS_0002,volume,RESOLVED_SUPPORT,billing_error_resolved,Kenya/KCB,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19
VS_0003,volume,RESOLVED_SUPPORT,billing_error_resolved,Gulf/UAE/RAKBANK,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17
VS_0004,volume,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/OPay,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19
VS_0005,volume,RESOLVED_SUPPORT,billing_error_resolved,Kenya/NCBA,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17
VS_0006,volume,RESOLVED_SUPPORT,billing_error_resolved,Gulf/UAE/Mashreq Neo,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19
VS_0007,volume,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/OPay,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17
VS_0008,volume,RESOLVED_SUPPORT,billing_error_resolved,Kenya/Absa Kenya,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17
VS_0009,volume,RESOLVED_SUPPORT,billing_error_resolved,Gulf/UAE/Emirates NBD,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19
VS_0010,volume,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/Kuda,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17
VS_0011,volume,RESOLVED_SUPPORT,billing_error_resolved,Kenya/NCBA,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17
VS_0012,volume,RESOLVED_SUPPORT,billing_error_resolved,Gulf/UAE/ADCB,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19
VS_0013,volume,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/GTBank,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19
VS_0014,volume,RESOLVED_SUPPORT,billing_error_resolved,Kenya/NCBA,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17
