transcript_id,set,archetype,sub_type,market,resolution,sentiment_arc,agent_consistency,intent,turns,customer_start_sentiment,customer_end_sentiment,customer_sentiment_delta,agent_mean_sentiment,agent_min_sentiment,customer_mean_sentiment,predicted_intent,intent_confidence,predicted_resolution,resolution_confidence,resolution_signals,resolution_score,sentiment_score,consistency_score,efficiency_score,final_score,narrative
GS_011,golden,loan_recovery,payment_reminder_compliant,Nigeria,resolved,slightly defensive → cooperative,"firm, friendly, non-aggressive",loan_reminder,17,0.3141,-0.0348,-0.349,0.6586,0.0,0.0837,loan_reminder,0.6163,unresolved,0.4,NO_SIGNALS_DETECTED,0.0,47.89,96.74,83.33,42.05,Call did not reach resolution. Customer sentiment was broadly stable through the call. Agent maintained a consistently positive and professional tone. Call was handled efficiently with a low turn count.
GS_012,golden,loan_recovery,hardship_negotiation,Kenya,resolved,distressed → cautiously relieved,"empathetic, flexible, solution-focused",hardship_plan,27,0.3021,-0.0958,-0.3979,0.6566,-0.0597,0.0504,hardship_plan,0.5534,resolved,1.0,RESOLVED:customer_payment_commitment | RESOLVED:customer_payment_commitment | RESOLVED:resolution_confirmed,100.0,44.39,96.34,0.0,72.59,Call ended in resolution. Customer sentiment declined or remained negative through the call. Agent maintained a consistently positive and professional tone. Call required a high number of turns to reach its outcome.
GS_013,golden,loan_recovery,loan_recovery_escalation,Gulf (UAE),unresolved,hostile from open → hostile throughout,"professional, de-escalation attempts",loan_escalation,19,0.2294,0.089,-0.1404,0.4804,-0.296,-0.0403,policy_dispute,0.5659,unresolved,1.0,UNRESOLVED:legal_escalation,0.0,62.8,61.5,66.67,37.81,Call did not reach resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call length was within a normal range for this call type.
GS_014,golden,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/GTBank,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17,0.3376,0.0386,-0.299,0.4123,-0.2878,0.2966,billing_error,0.5355,resolved,1.0,RESOLVED:customer_satisfaction | RESOLVED:resolution_confirmed,100.0,51.46,48.03,83.33,73.38,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_015,golden,RESOLVED_SUPPORT,billing_error_resolved,Kenya/Equity Bank,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19,0.3376,0.0386,-0.299,0.375,-0.2878,0.2636,loan_escalation,0.4833,resolved,1.0,RESOLVED:customer_satisfaction | RESOLVED:resolution_confirmed,100.0,51.46,40.66,66.67,70.24,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call length was within a normal range for this call type.
GS_016,golden,RESOLVED_SUPPORT,billing_error_resolved,Gulf/UAE/Mashreq Neo,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17,0.3141,0.0386,-0.2755,0.4123,-0.2878,0.2907,loan_escalation,0.4244,resolved,1.0,RESOLVED:customer_satisfaction | RESOLVED:resolution_confirmed,100.0,53.14,48.03,83.33,73.88,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_017,golden,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/Moniepoint,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19,0.4643,0.0386,-0.4257,0.375,-0.2878,0.2918,billing_error,0.5244,resolved,1.0,RESOLVED:customer_satisfaction | RESOLVED:resolution_confirmed,100.0,42.41,40.66,66.67,67.52,Call ended in resolution. Customer sentiment declined or remained negative through the call. Agent tone was adequate but showed some variation. Call length was within a normal range for this call type.
GS_018,golden,RESOLVED_SUPPORT,billing_error_resolved,Kenya/NCBA,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17,0.3376,0.0386,-0.299,0.4123,-0.2878,0.2966,billing_error,0.4796,resolved,1.0,RESOLVED:customer_satisfaction | RESOLVED:resolution_confirmed,100.0,51.46,48.03,83.33,73.38,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_019,golden,RESOLVED_SUPPORT,billing_error_resolved,Gulf/UAE/ADCB,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19,0.3141,0.0386,-0.2755,0.375,-0.2878,0.2584,loan_escalation,0.458,resolved,1.0,RESOLVED:customer_satisfaction | RESOLVED:resolution_confirmed,100.0,53.14,40.66,66.67,70.74,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call length was within a normal range for this call type.
GS_020,golden,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/Moniepoint,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17,0.5006,0.2384,-0.2623,0.4207,-0.2878,0.3873,billing_error,0.5615,resolved,1.0,RESOLVED:customer_satisfaction | RESOLVED:resolution_confirmed,100.0,54.08,49.69,83.33,74.5,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_021,golden,RESOLVED_SUPPORT,billing_error_resolved,Kenya/NCBA,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19,0.3376,0.0386,-0.299,0.4218,-0.2878,0.3125,loan_escalation,0.4862,resolved,1.0,RESOLVED:customer_satisfaction | RESOLVED:resolution_confirmed,100.0,51.46,49.91,66.67,72.09,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call length was within a normal range for this call type.
GS_022,golden,RESOLVED_SUPPORT,billing_error_resolved,Gulf/UAE/RAKBANK,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19,0.3141,0.0386,-0.2755,0.4218,-0.2878,0.3073,loan_escalation,0.4427,resolved,1.0,RESOLVED:customer_satisfaction | RESOLVED:resolution_confirmed,100.0,53.14,49.91,66.67,72.59,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call length was within a normal range for this call type.
GS_023,golden,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/Kuda,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19,0.5834,0.2712,-0.3123,0.3837,-0.2878,0.3699,billing_error,0.5151,resolved,1.0,RESOLVED:customer_satisfaction | RESOLVED:resolution_confirmed,100.0,50.51,42.38,66.67,70.3,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call length was within a normal range for this call type.
GS_024,golden,RESOLVED_SUPPORT,billing_error_resolved,Kenya/KCB,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17,0.5252,0.2712,-0.2541,0.422,-0.2878,0.4016,loan_escalation,0.4898,resolved,1.0,RESOLVED:customer_satisfaction | RESOLVED:resolution_confirmed,100.0,54.67,49.95,83.33,74.72,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_025,golden,RESOLVED_SUPPORT,billing_error_resolved,Gulf/UAE/Emirates NBD,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19,0.5134,0.2712,-0.2422,0.3877,-0.2878,0.3544,loan_escalation,0.4476,resolved,1.0,RESOLVED:customer_satisfaction | RESOLVED:resolution_confirmed,100.0,55.52,43.17,66.67,71.96,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call length was within a normal range for this call type.
GS_026,golden,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/Kuda,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19,0.5006,0.2384,-0.2623,0.4294,-0.2878,0.3932,billing_error,0.5656,resolved,1.0,RESOLVED:customer_satisfaction | RESOLVED:resolution_confirmed,100.0,54.08,51.41,66.67,73.17,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call length was within a normal range for this call type.
GS_027,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Nigeria/GTBank,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,17,-0.2464,0.0386,0.285,0.3971,-0.296,0.0765,failed_transaction,0.7172,resolved,1.0,RESOLVED:resolution_confirmed,100.0,93.2,45.03,83.33,85.3,Call ended in resolution. Customer sentiment improved notably over the course of the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_028,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Kenya/NCBA,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,17,-0.2464,0.0386,0.285,0.2669,-0.7179,0.0938,failed_transaction,0.7162,resolved,1.0,RESOLVED:resolution_confirmed,100.0,93.2,19.28,83.33,80.15,Call ended in resolution. Customer sentiment improved notably over the course of the call. Agent tone was inconsistent or leaned negative at points. Call was handled efficiently with a low turn count.
GS_029,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Gulf/UAE/Emirates NBD,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,15,-0.2464,0.0386,0.285,0.3997,-0.296,0.1669,failed_transaction,0.7274,resolved,1.0,RESOLVED:resolution_confirmed,100.0,93.2,45.54,100.0,87.07,Call ended in resolution. Customer sentiment improved notably over the course of the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_030,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Nigeria/GTBank,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,17,-0.0873,0.0386,0.1259,0.2669,-0.7179,0.1335,failed_transaction,0.7069,resolved,1.0,RESOLVED:resolution_confirmed,100.0,81.83,19.28,83.33,76.74,Call ended in resolution. Customer sentiment improved notably over the course of the call. Agent tone was inconsistent or leaned negative at points. Call was handled efficiently with a low turn count.
GS_031,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Kenya/NCBA,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,15,-0.2464,0.0386,0.285,0.3894,-0.296,0.1669,failed_transaction,0.7117,resolved,1.0,RESOLVED:resolution_confirmed,100.0,93.2,43.5,100.0,86.66,Call ended in resolution. Customer sentiment improved notably over the course of the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_032,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Gulf/UAE/Mashreq Neo,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,19,-0.2464,0.0386,0.285,0.2861,-0.7179,0.0215,failed_transaction,0.7267,resolved,1.0,RESOLVED:resolution_confirmed,100.0,93.2,23.08,66.67,79.24,Call ended in resolution. Customer sentiment improved notably over the course of the call. Agent tone was inconsistent or leaned negative at points. Call length was within a normal range for this call type.
GS_033,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Nigeria/Moniepoint,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,19,-0.0873,0.0386,0.1259,0.3574,-0.296,0.1387,failed_transaction,0.7233,resolved,1.0,RESOLVED:resolution_confirmed,100.0,81.83,37.18,66.67,78.65,Call ended in resolution. Customer sentiment improved notably over the course of the call. Agent tone was adequate but showed some variation. Call length was within a normal range for this call type.
GS_034,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Kenya/Equity Bank,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,19,0.0721,0.0386,-0.0335,0.2861,-0.7179,0.0923,failed_transaction,0.6877,resolved,1.0,RESOLVED:resolution_confirmed,100.0,70.44,23.08,66.67,72.41,Call ended in resolution. Customer sentiment improved notably over the course of the call. Agent tone was inconsistent or leaned negative at points. Call length was within a normal range for this call type.
GS_035,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Gulf/UAE/RAKBANK,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,15,-0.2464,0.0386,0.285,0.3894,-0.296,0.1669,failed_transaction,0.7241,resolved,1.0,RESOLVED:resolution_confirmed,100.0,93.2,43.5,100.0,86.66,Call ended in resolution. Customer sentiment improved notably over the course of the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_036,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Nigeria/OPay,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,17,-0.2464,0.0386,0.285,0.2669,-0.7179,0.0938,failed_transaction,0.7166,resolved,1.0,RESOLVED:resolution_confirmed,100.0,93.2,19.28,83.33,80.15,Call ended in resolution. Customer sentiment improved notably over the course of the call. Agent tone was inconsistent or leaned negative at points. Call was handled efficiently with a low turn count.
GS_037,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Kenya/Absa Kenya,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,17,-0.2464,0.0386,0.285,0.3971,-0.296,0.0765,failed_transaction,0.6882,resolved,1.0,RESOLVED:resolution_confirmed,100.0,93.2,45.03,83.33,85.3,Call ended in resolution. Customer sentiment improved notably over the course of the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_038,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Gulf/UAE/Mashreq Neo,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,19,-0.2464,0.0386,0.285,0.2402,-0.7179,0.1187,failed_transaction,0.74,resolved,1.0,RESOLVED:resolution_confirmed,100.0,93.2,14.0,66.67,77.43,Call ended in resolution. Customer sentiment improved notably over the course of the call. Agent tone was inconsistent or leaned negative at points. Call length was within a normal range for this call type.
GS_039,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Nigeria/GTBank,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,15,-0.1584,0.0386,0.1969,0.3988,-0.296,0.192,failed_transaction,0.6723,resolved,1.0,RESOLVED:resolution_confirmed,100.0,86.91,45.36,100.0,85.14,Call ended in resolution. Customer sentiment improved notably over the course of the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_040,golden,RESOLVED_SUPPORT,account_access_resolved,Nigeria/GTBank,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,25,0.286,0.2192,-0.0667,0.498,-0.048,0.2336,account_access,0.7402,resolved,1.0,RESOLVED:warm_mutual_close | RESOLVED:resolution_confirmed,100.0,68.07,64.98,16.67,75.08,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call required a high number of turns to reach its outcome.
GS_041,golden,RESOLVED_SUPPORT,account_access_resolved,Kenya/Absa Kenya,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.379,0.2192,-0.1598,0.5519,0.0,0.2746,account_access,0.7341,resolved,1.0,RESOLVED:warm_mutual_close | RESOLVED:resolution_confirmed,100.0,61.41,75.64,33.33,76.88,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent maintained a consistently positive and professional tone. Call required a high number of turns to reach its outcome.
GS_042,golden,RESOLVED_SUPPORT,account_access_resolved,Gulf/UAE/ADCB,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.286,0.2192,-0.0667,0.5456,0.0,0.216,account_access,0.762,resolved,1.0,RESOLVED:warm_mutual_close | RESOLVED:resolution_confirmed,100.0,68.07,74.39,33.33,78.63,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent maintained a consistently positive and professional tone. Call required a high number of turns to reach its outcome.
GS_043,golden,RESOLVED_SUPPORT,account_access_resolved,Nigeria/OPay,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,25,0.445,0.2192,-0.2258,0.498,-0.048,0.2601,account_access,0.7719,resolved,1.0,RESOLVED:warm_mutual_close | RESOLVED:resolution_confirmed,100.0,56.69,64.98,16.67,71.67,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call required a high number of turns to reach its outcome.
GS_044,golden,RESOLVED_SUPPORT,account_access_resolved,Kenya/Absa Kenya,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.286,0.2192,-0.0667,0.5456,0.0,0.2577,account_access,0.6944,resolved,1.0,RESOLVED:warm_mutual_close | RESOLVED:resolution_confirmed,100.0,68.07,74.39,33.33,78.63,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent maintained a consistently positive and professional tone. Call required a high number of turns to reach its outcome.
GS_045,golden,RESOLVED_SUPPORT,account_access_resolved,Gulf/UAE/Mashreq Neo,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,25,0.286,0.2192,-0.0667,0.4999,-0.048,0.22,account_access,0.7442,resolved,1.0,RESOLVED:warm_mutual_close | RESOLVED:resolution_confirmed,100.0,68.07,65.35,16.67,75.16,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call required a high number of turns to reach its outcome.
GS_046,golden,RESOLVED_SUPPORT,account_access_resolved,Nigeria/GTBank,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.286,0.2192,-0.0667,0.5435,0.0,0.2308,account_access,0.7374,resolved,1.0,RESOLVED:warm_mutual_close | RESOLVED:resolution_confirmed,100.0,68.07,73.98,33.33,78.55,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent maintained a consistently positive and professional tone. Call required a high number of turns to reach its outcome.
GS_047,golden,RESOLVED_SUPPORT,account_access_resolved,Kenya/NCBA,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.286,0.2192,-0.0667,0.5456,0.0,0.2577,account_access,0.743,resolved,1.0,RESOLVED:warm_mutual_close | RESOLVED:resolution_confirmed,100.0,68.07,74.39,33.33,78.63,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent maintained a consistently positive and professional tone. Call required a high number of turns to reach its outcome.
GS_048,golden,RESOLVED_SUPPORT,account_access_resolved,Gulf/UAE/ADCB,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,25,0.286,0.2192,-0.0667,0.4999,-0.048,0.22,account_access,0.7598,resolved,1.0,RESOLVED:warm_mutual_close | RESOLVED:resolution_confirmed,100.0,68.07,65.35,16.67,75.16,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call required a high number of turns to reach its outcome.
GS_049,golden,RESOLVED_SUPPORT,account_access_resolved,Nigeria/GTBank,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.538,0.2192,-0.3188,0.5498,0.0,0.2766,account_access,0.7239,resolved,1.0,RESOLVED:warm_mutual_close | RESOLVED:resolution_confirmed,100.0,50.05,75.22,33.33,73.39,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent maintained a consistently positive and professional tone. Call required a high number of turns to reach its outcome.
GS_050,golden,RESOLVED_SUPPORT,account_access_resolved,Kenya/KCB,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.286,0.2192,-0.0667,0.5456,0.0,0.2577,account_access,0.7195,resolved,1.0,RESOLVED:warm_mutual_close | RESOLVED:resolution_confirmed,100.0,68.07,74.39,33.33,78.63,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent maintained a consistently positive and professional tone. Call required a high number of turns to reach its outcome.
GS_051,golden,RESOLVED_SUPPORT,account_access_resolved,Gulf/UAE/Emirates NBD,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.3922,0.2192,-0.173,0.5562,0.0,0.2353,account_access,0.7424,resolved,1.0,RESOLVED:warm_mutual_close | RESOLVED:resolution_confirmed,100.0,60.47,76.49,33.33,76.77,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent maintained a consistently positive and professional tone. Call required a high number of turns to reach its outcome.
GS_052,golden,RESOLVED_SUPPORT,account_access_resolved,Nigeria/Moniepoint,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.445,0.2192,-0.2258,0.5435,0.0,0.2597,account_access,0.7479,resolved,1.0,RESOLVED:warm_mutual_close | RESOLVED:resolution_confirmed,100.0,56.69,73.98,33.33,75.14,Call ended in resolution. Customer sentiment was broadly stable through the call. Agent maintained a consistently positive and professional tone. Call required a high number of turns to reach its outcome.
GS_053,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Nigeria/Moniepoint,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17,0.3592,-0.2192,-0.5784,0.406,-0.4939,0.1632,service_complaint,0.4506,unresolved,1.0,UNRESOLVED:complaint_logged_no_action,0.0,31.49,46.79,83.33,27.14,Call did not reach resolution. Customer sentiment declined or remained negative through the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_054,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Kenya/Bolt Food,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17,0.2018,-0.2192,-0.421,0.406,-0.4939,0.0556,service_complaint,0.3556,unresolved,1.0,UNRESOLVED:complaint_logged_no_action,0.0,42.74,46.79,83.33,30.51,Call did not reach resolution. Customer sentiment declined or remained negative through the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_055,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Gulf/UAE/Talabat,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17,0.2018,-0.2192,-0.421,0.406,-0.4939,0.0622,service_complaint,0.3743,unresolved,1.0,UNRESOLVED:complaint_logged_no_action,0.0,42.74,46.79,83.33,30.51,Call did not reach resolution. Customer sentiment declined or remained negative through the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_056,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Nigeria/Moniepoint,unresolved,calm -> frustrated,neutral_throughout,service_complaint,19,0.4158,-0.0265,-0.4423,0.3609,-0.4939,0.2005,loan_escalation,0.4572,unresolved,1.0,UNRESOLVED:complaint_logged_no_action,0.0,41.22,37.87,66.67,26.61,Call did not reach resolution. Customer sentiment declined or remained negative through the call. Agent tone was adequate but showed some variation. Call length was within a normal range for this call type.
GS_057,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Kenya/Uber,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17,0.1186,-0.0265,-0.1452,0.4218,-0.4939,0.0895,loan_escalation,0.2938,unresolved,1.0,UNRESOLVED:complaint_logged_no_action,0.0,62.45,49.91,83.33,37.05,Call did not reach resolution. Customer sentiment was broadly stable through the call. Agent tone was adequate but showed some variation. Call was handled efficiently with a low turn count.
GS_058,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Gulf/UAE/Mashreq Neo,unresolved,calm -> frustrated,neutral_throughout,service_complaint,19,0.3592,-0.2192,-0.5784,0.3467,-0.4939,0.1451,loan_escalation,0.4289,unresolved,1.0,UNRESOLVED:complaint_logged_no_action,0.0,31.49,35.06,66.67,23.13,Call did not reach resolution. Customer sentiment declined or remained negative through the call. Agent tone was adequate but showed some variation. Call length was within a normal range for this call type.
