transcript_id,set,archetype,sub_type,market,resolution,sentiment_arc,agent_consistency,intent,turns,customer_start_sentiment,customer_end_sentiment,customer_sentiment_delta,agent_mean_sentiment,agent_min_sentiment,customer_mean_sentiment
GS_012,golden,loan_recovery,hardship_negotiation,Kenya,resolved,distressed → cautiously relieved,"empathetic, flexible, solution-focused",hardship_plan,27,0.3021,-0.0958,-0.3979,0.6566,-0.0597,0.0504
GS_013,golden,loan_recovery,loan_recovery_escalation,Gulf (UAE),unresolved,hostile from open → hostile throughout,"professional, de-escalation attempts",loan_escalation,19,0.2294,0.089,-0.1404,0.4804,-0.296,-0.0403
GS_014,golden,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/GTBank,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17,0.3376,0.0386,-0.299,0.4123,-0.2878,0.2966
GS_015,golden,RESOLVED_SUPPORT,billing_error_resolved,Kenya/Equity Bank,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19,0.3376,0.0386,-0.299,0.375,-0.2878,0.2636
GS_016,golden,RESOLVED_SUPPORT,billing_error_resolved,Gulf/UAE/Mashreq Neo,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17,0.3141,0.0386,-0.2755,0.4123,-0.2878,0.2907
GS_017,golden,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/Moniepoint,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19,0.4643,0.0386,-0.4257,0.375,-0.2878,0.2918
GS_018,golden,RESOLVED_SUPPORT,billing_error_resolved,Kenya/NCBA,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17,0.3376,0.0386,-0.299,0.4123,-0.2878,0.2966
GS_019,golden,RESOLVED_SUPPORT,billing_error_resolved,Gulf/UAE/ADCB,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19,0.3141,0.0386,-0.2755,0.375,-0.2878,0.2584
GS_020,golden,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/Moniepoint,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17,0.5006,0.2384,-0.2623,0.4207,-0.2878,0.3873
GS_021,golden,RESOLVED_SUPPORT,billing_error_resolved,Kenya/NCBA,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19,0.3376,0.0386,-0.299,0.4218,-0.2878,0.3125
GS_022,golden,RESOLVED_SUPPORT,billing_error_resolved,Gulf/UAE/RAKBANK,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19,0.3141,0.0386,-0.2755,0.4218,-0.2878,0.3073
GS_023,golden,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/Kuda,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19,0.5834,0.2712,-0.3123,0.3837,-0.2878,0.3699
GS_024,golden,RESOLVED_SUPPORT,billing_error_resolved,Kenya/KCB,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,17,0.5252,0.2712,-0.2541,0.422,-0.2878,0.4016
GS_025,golden,RESOLVED_SUPPORT,billing_error_resolved,Gulf/UAE/Emirates NBD,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19,0.5134,0.2712,-0.2422,0.3877,-0.2878,0.3544
GS_026,golden,RESOLVED_SUPPORT,billing_error_resolved,Nigeria/Kuda,resolved,frustrated -> relieved,neutral_positive_throughout,billing_error,19,0.5006,0.2384,-0.2623,0.4294,-0.2878,0.3932
GS_027,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Nigeria/GTBank,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,17,-0.2464,0.0386,0.285,0.3971,-0.296,0.0765
GS_028,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Kenya/NCBA,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,17,-0.2464,0.0386,0.285,0.2669,-0.7179,0.0938
GS_029,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Gulf/UAE/Emirates NBD,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,15,-0.2464,0.0386,0.285,0.3997,-0.296,0.1669
GS_030,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Nigeria/GTBank,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,17,-0.0873,0.0386,0.1259,0.2669,-0.7179,0.1335
GS_031,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Kenya/NCBA,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,15,-0.2464,0.0386,0.285,0.3894,-0.296,0.1669
GS_032,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Gulf/UAE/Mashreq Neo,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,19,-0.2464,0.0386,0.285,0.2861,-0.7179,0.0215
GS_033,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Nigeria/Moniepoint,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,19,-0.0873,0.0386,0.1259,0.3574,-0.296,0.1387
GS_034,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Kenya/Equity Bank,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,19,0.0721,0.0386,-0.0335,0.2861,-0.7179,0.0923
GS_035,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Gulf/UAE/RAKBANK,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,15,-0.2464,0.0386,0.285,0.3894,-0.296,0.1669
GS_036,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Nigeria/OPay,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,17,-0.2464,0.0386,0.285,0.2669,-0.7179,0.0938
GS_037,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Kenya/Absa Kenya,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,17,-0.2464,0.0386,0.285,0.3971,-0.296,0.0765
GS_038,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Gulf/UAE/Mashreq Neo,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,19,-0.2464,0.0386,0.285,0.2402,-0.7179,0.1187
GS_039,golden,RESOLVED_SUPPORT,failed_transaction_resolved,Nigeria/GTBank,resolved,anxious -> reassured,neutral_positive_throughout,failed_transaction,15,-0.1584,0.0386,0.1969,0.3988,-0.296,0.192
GS_040,golden,RESOLVED_SUPPORT,account_access_resolved,Nigeria/GTBank,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,25,0.286,0.2192,-0.0667,0.498,-0.048,0.2336
GS_041,golden,RESOLVED_SUPPORT,account_access_resolved,Kenya/Absa Kenya,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.379,0.2192,-0.1598,0.5519,0.0,0.2746
GS_042,golden,RESOLVED_SUPPORT,account_access_resolved,Gulf/UAE/ADCB,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.286,0.2192,-0.0667,0.5456,0.0,0.216
GS_043,golden,RESOLVED_SUPPORT,account_access_resolved,Nigeria/OPay,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,25,0.445,0.2192,-0.2258,0.498,-0.048,0.2601
GS_044,golden,RESOLVED_SUPPORT,account_access_resolved,Kenya/Absa Kenya,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.286,0.2192,-0.0667,0.5456,0.0,0.2577
GS_045,golden,RESOLVED_SUPPORT,account_access_resolved,Gulf/UAE/Mashreq Neo,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,25,0.286,0.2192,-0.0667,0.4999,-0.048,0.22
GS_046,golden,RESOLVED_SUPPORT,account_access_resolved,Nigeria/GTBank,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.286,0.2192,-0.0667,0.5435,0.0,0.2308
GS_047,golden,RESOLVED_SUPPORT,account_access_resolved,Kenya/NCBA,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.286,0.2192,-0.0667,0.5456,0.0,0.2577
GS_048,golden,RESOLVED_SUPPORT,account_access_resolved,Gulf/UAE/ADCB,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,25,0.286,0.2192,-0.0667,0.4999,-0.048,0.22
GS_049,golden,RESOLVED_SUPPORT,account_access_resolved,Nigeria/GTBank,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.538,0.2192,-0.3188,0.5498,0.0,0.2766
GS_050,golden,RESOLVED_SUPPORT,account_access_resolved,Kenya/KCB,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.286,0.2192,-0.0667,0.5456,0.0,0.2577
GS_051,golden,RESOLVED_SUPPORT,account_access_resolved,Gulf/UAE/Emirates NBD,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.3922,0.2192,-0.173,0.5562,0.0,0.2353
GS_052,golden,RESOLVED_SUPPORT,account_access_resolved,Nigeria/Moniepoint,resolved,frustrated -> relieved,neutral_positive_throughout,account_access,23,0.445,0.2192,-0.2258,0.5435,0.0,0.2597
GS_053,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Nigeria/Moniepoint,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17,0.3592,-0.2192,-0.5784,0.406,-0.4939,0.1632
GS_054,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Kenya/Bolt Food,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17,0.2018,-0.2192,-0.421,0.406,-0.4939,0.0556
GS_055,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Gulf/UAE/Talabat,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17,0.2018,-0.2192,-0.421,0.406,-0.4939,0.0622
GS_056,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Nigeria/Moniepoint,unresolved,calm -> frustrated,neutral_throughout,service_complaint,19,0.4158,-0.0265,-0.4423,0.3609,-0.4939,0.2005
GS_057,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Kenya/Uber,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17,0.1186,-0.0265,-0.1452,0.4218,-0.4939,0.0895
GS_058,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Gulf/UAE/Mashreq Neo,unresolved,calm -> frustrated,neutral_throughout,service_complaint,19,0.3592,-0.2192,-0.5784,0.3467,-0.4939,0.1451
GS_059,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Nigeria/Chowdeck,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17,0.2018,-0.2192,-0.421,0.406,-0.4939,0.1174
GS_060,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Kenya/Absa Kenya,unresolved,calm -> frustrated,neutral_throughout,service_complaint,19,0.0468,-0.2192,-0.2659,0.3467,-0.4939,0.0769
GS_061,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Gulf/UAE/Uber,unresolved,calm -> frustrated,neutral_throughout,service_complaint,19,0.0155,-0.2192,-0.2347,0.3467,-0.4939,0.0138
GS_062,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Nigeria/Bolt,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17,0.0155,-0.2192,-0.2347,0.406,-0.4939,0.0377
GS_063,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Kenya/Bolt Food,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17,0.2018,-0.2192,-0.421,0.406,-0.4939,0.0636
GS_064,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Gulf/UAE/Emirates NBD,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17,0.3592,-0.2192,-0.5784,0.4674,-0.4939,0.1632
GS_065,golden,UNRESOLVED_COMPLAINT,service_quality_complaint,Nigeria/Moniepoint,unresolved,calm -> frustrated,neutral_throughout,service_complaint,17,0.3592,-0.2192,-0.5784,0.406,-0.4939,0.1327
GS_066,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Nigeria/Glovo,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,19,-0.064,-0.0626,0.0014,0.1694,-0.4404,-0.1763
GS_067,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Kenya/Equity Bank,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,19,-0.2202,-0.0985,0.1218,0.1694,-0.4404,-0.215
GS_068,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Gulf/UAE/Mashreq Neo,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,17,-0.2202,-0.0626,0.1576,0.209,-0.4404,-0.2374
GS_069,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Nigeria/Moniepoint,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,21,0.0386,-0.0626,-0.1012,0.1888,-0.4404,-0.1382
GS_070,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Kenya/KCB,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,17,-0.2202,-0.0762,0.144,0.209,-0.4404,-0.2418
GS_071,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Gulf/UAE/RAKBANK,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,19,-0.2202,-0.0985,0.1218,0.1694,-0.4404,-0.215
GS_072,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Nigeria/OPay,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,21,0.0386,0.0349,-0.0037,0.1888,-0.4404,-0.1301
GS_073,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Kenya/KCB,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,19,-0.2202,-0.0985,0.1218,0.1694,-0.4404,-0.215
GS_074,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Gulf/UAE/Emirates NBD,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,19,-0.2202,-0.0626,0.1576,0.1776,-0.4404,-0.2111
GS_075,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Nigeria/Kuda,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,19,-0.0611,-0.0626,-0.0015,0.1694,-0.4404,-0.1757
GS_076,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Kenya/Uber,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,17,-0.1591,-0.0985,0.0606,0.209,-0.4404,-0.2266
GS_077,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Gulf/UAE/Careem,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,21,-0.1591,-0.0626,0.0965,0.1809,-0.4404,-0.1777
GS_078,golden,UNRESOLVED_COMPLAINT,repeated_issue_unresolved,Nigeria/Bolt,unresolved,already_frustrated -> resigned,neutral_throughout,service_complaint,19,0.2231,-0.0626,-0.2857,0.2253,-0.4404,-0.1125
GS_079,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Nigeria/Kuda,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21,0.2356,-0.3406,-0.5763,0.2348,-0.7003,-0.0755
GS_080,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Kenya/Tala,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21,0.17,-0.3098,-0.4798,0.2588,-0.7003,0.0552
GS_081,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Gulf/UAE/ADCB,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21,0.1366,-0.3406,-0.4772,0.2588,-0.7003,-0.0645
GS_082,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Nigeria/OPay,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21,0.2356,-0.4421,-0.6778,0.2348,-0.7003,-0.1544
GS_083,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Kenya/NCBA,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21,0.4112,-0.3098,-0.7211,0.2736,-0.7003,-0.0359
GS_084,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Gulf/UAE/ADIB,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21,0.135,-0.3098,-0.4448,0.2569,-0.7003,0.1057
GS_085,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Nigeria/Carbon,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21,0.4178,-0.4421,-0.86,0.2841,-0.7003,-0.0712
GS_086,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Kenya/KCB,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21,0.401,-0.3098,-0.7108,0.2718,-0.7003,-0.0379
GS_087,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Gulf/UAE/Mashreq Neo,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21,0.1366,-0.3406,-0.4772,0.2588,-0.7003,-0.0645
GS_088,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Nigeria/Carbon,unresolved,polite -> hostile,neutral_throughout,policy_dispute,21,0.577,-0.3406,-0.9176,0.2841,-0.7003,0.0386
GS_089,golden,UNRESOLVED_COMPLAINT,policy_dispute_unresolved,Kenya/Equity Bank,unresolved,polite -> hostile,neutral_throughout,policy_dispute,23,0.3298,-0.3098,-0.6397,0.279,-0.7003,-0.0853
GS_090,golden,KYC_VERIFICATION,standard_kyc_pass,Nigeria/OPay,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,21,0.201,0.4074,0.2064,0.4656,-0.34,0.1443
GS_091,golden,KYC_VERIFICATION,standard_kyc_pass,Kenya/KCB,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,17,0.201,0.4074,0.2064,0.4715,-0.34,0.1804
GS_092,golden,KYC_VERIFICATION,standard_kyc_pass,Gulf/UAE/Emirates NBD,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,19,0.201,0.4074,0.2064,0.4774,-0.34,0.1603
GS_093,golden,KYC_VERIFICATION,standard_kyc_pass,Nigeria/Moniepoint,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,21,0.5134,0.4074,-0.106,0.4725,-0.34,0.2068
GS_094,golden,KYC_VERIFICATION,standard_kyc_pass,Kenya/NCBA,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,19,0.4117,0.4074,-0.0043,0.47,-0.34,0.2072
GS_095,golden,KYC_VERIFICATION,standard_kyc_pass,Gulf/UAE/Emirates NBD,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,19,0.4117,0.4074,-0.0043,0.4812,-0.34,0.2072
GS_096,golden,KYC_VERIFICATION,standard_kyc_pass,Nigeria/Kuda,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,21,0.201,0.4074,0.2064,0.4656,-0.34,0.1443
GS_097,golden,KYC_VERIFICATION,standard_kyc_pass,Kenya/Absa Kenya,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,19,0.4117,0.4074,-0.0043,0.47,-0.34,0.2072
GS_098,golden,KYC_VERIFICATION,standard_kyc_pass,Gulf/UAE/Emirates NBD,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,17,0.201,0.4074,0.2064,0.4881,-0.34,0.1804
GS_099,golden,KYC_VERIFICATION,standard_kyc_pass,Nigeria/Moniepoint,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,19,0.36,0.4074,0.0474,0.4741,-0.34,0.1957
GS_100,golden,KYC_VERIFICATION,standard_kyc_pass,Kenya/Absa Kenya,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,19,0.201,0.4074,0.2064,0.4624,-0.34,0.1603
GS_101,golden,KYC_VERIFICATION,standard_kyc_pass,Gulf/UAE/ADCB,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,19,0.4117,0.4074,-0.0043,0.47,-0.34,0.2072
GS_102,golden,KYC_VERIFICATION,standard_kyc_pass,Nigeria/OPay,resolved,neutral -> satisfied,neutral_positive_throughout,kyc_verification,19,0.36,0.4074,0.0474,0.4741,-0.34,0.1957
GS_103,golden,KYC_VERIFICATION,kyc_document_issue,Nigeria/Kuda,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15,-0.1516,0.1872,0.3388,0.2552,-0.34,0.0102
GS_104,golden,KYC_VERIFICATION,kyc_document_issue,Kenya/KCB,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15,-0.1928,0.1872,0.3801,0.3191,-0.34,-0.0016
GS_105,golden,KYC_VERIFICATION,kyc_document_issue,Gulf/UAE/ADCB,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15,-0.1928,0.1872,0.3801,0.2474,-0.34,-0.0016
GS_106,golden,KYC_VERIFICATION,kyc_document_issue,Nigeria/OPay,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15,-0.1928,0.1872,0.3801,0.2443,-0.34,-0.0016
GS_107,golden,KYC_VERIFICATION,kyc_document_issue,Kenya/KCB,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,17,-0.1928,0.1872,0.3801,0.319,-0.34,-0.0516
GS_108,golden,KYC_VERIFICATION,kyc_document_issue,Gulf/UAE/Mashreq Neo,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15,-0.1928,0.1872,0.3801,0.2474,-0.34,-0.0016
GS_109,golden,KYC_VERIFICATION,kyc_document_issue,Nigeria/Moniepoint,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15,-0.1928,0.1872,0.3801,0.2443,-0.34,-0.0016
GS_110,golden,KYC_VERIFICATION,kyc_document_issue,Kenya/NCBA,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15,-0.1928,0.1872,0.3801,0.3191,-0.34,-0.0016
GS_111,golden,KYC_VERIFICATION,kyc_document_issue,Gulf/UAE/ADCB,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15,-0.1516,0.1872,0.3388,0.2582,-0.34,0.0102
GS_112,golden,KYC_VERIFICATION,kyc_document_issue,Nigeria/Moniepoint,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15,-0.1706,0.1872,0.3578,0.2443,-0.34,0.0048
GS_113,golden,KYC_VERIFICATION,kyc_document_issue,Kenya/NCBA,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15,-0.1604,0.1872,0.3476,0.3286,-0.34,0.0077
GS_114,golden,KYC_VERIFICATION,kyc_document_issue,Gulf/UAE/ADCB,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,17,-0.1928,0.1872,0.3801,0.2552,-0.34,-0.0516
GS_115,golden,KYC_VERIFICATION,kyc_document_issue,Nigeria/OPay,unresolved,polite -> mildly_frustrated,neutral_throughout,kyc_incomplete,15,-0.1706,0.1872,0.3578,0.2443,-0.34,0.0048
GS_116,golden,KYC_VERIFICATION,kyc_fraud_flag,Nigeria/OPay,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,21,0.0,0.1028,0.1028,0.3192,-0.3087,-0.0313
GS_117,golden,KYC_VERIFICATION,kyc_fraud_flag,Kenya/Equity Bank,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,19,0.0,0.1028,0.1028,0.3774,-0.3087,-0.0348
GS_118,golden,KYC_VERIFICATION,kyc_fraud_flag,Gulf/UAE/Emirates NBD,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,19,0.0,0.1028,0.1028,0.3994,-0.3087,-0.0348
GS_119,golden,KYC_VERIFICATION,kyc_fraud_flag,Nigeria/GTBank,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,19,0.0,0.1028,0.1028,0.3699,-0.3087,-0.0348
GS_120,golden,KYC_VERIFICATION,kyc_fraud_flag,Kenya/NCBA,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,19,0.0,0.1028,0.1028,0.3774,-0.3087,-0.0348
GS_121,golden,KYC_VERIFICATION,kyc_fraud_flag,Gulf/UAE/RAKBANK,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,21,0.0,0.1028,0.1028,0.3261,-0.3087,-0.0313
GS_122,golden,KYC_VERIFICATION,kyc_fraud_flag,Nigeria/Kuda,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,19,0.1591,0.1028,-0.0563,0.3699,-0.3087,0.0005
GS_123,golden,KYC_VERIFICATION,kyc_fraud_flag,Kenya/Equity Bank,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,21,0.247,0.1028,-0.1441,0.334,-0.3087,0.018
GS_124,golden,KYC_VERIFICATION,kyc_fraud_flag,Gulf/UAE/Emirates NBD,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,19,0.0,0.1028,0.1028,0.3994,-0.3087,-0.0348
GS_125,golden,KYC_VERIFICATION,kyc_fraud_flag,Nigeria/OPay,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,21,0.1591,0.1028,-0.0563,0.3192,-0.3087,0.0005
GS_126,golden,KYC_VERIFICATION,kyc_fraud_flag,Kenya/KCB,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,19,0.0,0.1028,0.1028,0.3774,-0.3087,-0.0348
GS_127,golden,KYC_VERIFICATION,kyc_fraud_flag,Gulf/UAE/ADCB,unresolved,neutral -> confused_defensive,neutral_throughout,kyc_escalation,21,0.0,0.1028,0.1028,0.3261,-0.3087,-0.0313
